avg_bond_length,std_bond_length,skew_bond_length,distortion_index,quadratic_elongation,n_corner_pairs,n_edge_pairs,n_face_pairs,n_atoms_in_cell,avg_bond_angles,std_bond_length_angles,skew_bond_length_angles,volumes,bond_angle_variance,central_atoms,polyhedra_formula,poly_types,n_atoms_per_cell,Formula,cif_name,Material,Structure,Structure type,Mol wt (g/mol),Central Atom(s),Total Number of TM,Capacity (mAh/g),1st Discharge (mAh/g),1st Charge (mAh/g),1st Charge/1st Discharge Ratio,2nd Discharge (mAh/g),2nd/1st Discharge Ratio,x moles of Li+,Li/TM ,Rate of cycling (nC),m (width),n (height),Repeat (e.g. ? or 1 ),Cycling Shape,Area,Perimeter,Edge pairs/Corner Pairs,Paper with reported capacity,Notes
1.902699693,0.01697078,0.707106781,0.008409212,1.206139242,32,8,0,64,89.95853336,2.181422847,0.056972019,9.006897088,5.193081947,W,O6,Octahedron,64,WO3,(Nb0.118 W0.882)O2.941,,,,,,,,,,,,,,,,,,,,,,0.25,,
1.938288992,0.166397966,-0.781691554,0.0705011,1.235138537,126,84,0,180,90.11983911,4.657257995,-0.089245676,9.219937222,26.82055084,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,(W0.2V0.8)3O7,Wadsley-Roth,WR,344.56,"W,V",1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.314089029,2.314089029,5,4,4,1,Symmetric,16,16,0.666666667,10.1021/acs.chemmater.0c03496?ref=pdf,Capacity approximated from Fig 5c in paper
2.019896739,0.185474795,0.025801784,0.072053362,1.251706456,184,140,0,348,92.0789974,10.64939922,0.600284731,10.23611067,178.7833573,Nb,O6,Octahedron,348,Nb25O62,Al0.5Nb24.5O62,Al0.5Nb24.5O62,Wadsley-Roth Adjacent,ReO3,2064.6,"Al, Nb",23,300,337.92,322.68,,1.047229453,,23.10999637,1.004782451,0.1,3,4,inf,Symmetric,12,14,0.760869565,10.1039/C9TA04644E,
2.314492058,0.779764153,-0.346983634,0.294977803,4.767468289,184,140,0,348,102.9211977,29.02003052,-0.248132327,9.687836362,,Nb,O6,Trigonal prism,348,Nb25O62,Al0.5Nb24.5O62,Al0.5Nb24.5O62,Wadsley-Roth Adjacent,ReO3,2064.6,"Al, Nb",23,300,337.92,322.68,,1.047229453,,23.10999637,1.004782451,0.1,3,4,inf,Symmetric,12,14,0.760869565,10.1039/C9TA04644E,
1.898513858,0.01408436,0.016312908,0.007273188,1.199996588,128,32,0,96,89.99683657,4.415353731,0.073558403,9.016374145,21.26766391,Al,O6,Octahedron,96,AlWO4,AlWO4,,,,,,,,,,,,,,,,,,,,,,0.25,,
1.957503023,0.048572553,-0.202026513,0.021293722,1.197327164,128,32,0,96,90.01097434,2.166196829,-1.86348368,9.91627811,5.119122697,W,O6,Octahedron,96,AlWO4,AlWO4,,,,,,,,,,,,,,,,,,,,,,0.25,,
2.007628591,0.139947104,-0.168960881,0.062601382,1.217582055,112,16,0,112,90.00847832,2.474661211,-0.074775867,10.43189927,6.680749083,Nb,O6,Octahedron,112,Nb2O5,B-Nb2O5,,,,,,,,,,,,,,,,,,,,,,0.142857143,,
2.366661878,0.045201892,0.445244548,0.017221081,1.269039475,192,48,0,144,90.02401261,6.866001558,0.104876192,16.06040806,51.42824073,Ca,O6,Octahedron,144,CaNb2O6,CaNb2O6,CaNb2O6,Wadsley-Roth Adjacent,Columbite,321.89,"Ca, Nb",3,22.48089409,42.69704626,33.63807857,0.787831513,,,0.27,0.09,,,,,asymmetric,,,0.25,10.1021/jp206505y,"The specific capacity is not reported, only x in LixCaNb2O6. Block size is also not mentioned. The paper only states that ""(1 x 1) zigzag channels exist."""
2.019959064,0.175732045,0.522260549,0.069663183,1.228438341,192,48,0,144,90.17548226,5.479584289,-0.831459266,10.48475502,32.78905964,Nb,O6,Octahedron,144,CaNb2O6,CaNb2O6,CaNb2O6,Wadsley-Roth Adjacent,Columbite,321.89,"Ca, Nb",3,22.48089409,42.69704626,33.63807857,0.787831513,,,0.27,0.09,,,,,asymmetric,,,0.25,10.1021/jp206505y,"The specific capacity is not reported, only x in LixCaNb2O6. Block size is also not mentioned. The paper only states that ""(1 x 1) zigzag channels exist."""
2.09732612,0.031929186,0.166524921,0.012959248,1.208676557,192,48,0,144,89.99489632,3.665677216,1.022927213,12.02522957,14.65878055,Co,O6,Octahedron,144,Nb2CoO6,CoNb2O6,,,,,,,,,,,,,,,,,,,,,,0.25,,
